"full_name","gender","mfa_degree","role","prize_year","prize_name","prize_amount","prize_institution","prize_type","prize_genre","given_name","last_name","author_wikidata","author_wikidata_label","author_viaf","author_lccn","elite_institution","graduate_degree","iowa_mfa_person_id","stegner","title_of_winning_book"
"Mona Van Duyn","female","","winner","1992","Poet Laureate","35,000","Library of Congress","career","poetry","Mona","Van Duyn","Q6897736","Mona Van Duyn","14898782","n81147222","","graduate","","",""
"Adrienne Rich","female","","winner","1992","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Adrienne","Rich","Q270705","Adrienne Rich","16565","no2010203172","Radcliffe College","","","",""
"Alice Adams","female","","winner","1992","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Alice","Adams","Q2646833","Alice Adams","61779151","n81024712","Radcliffe College","","","",""
"Amy Clampitt","female","","judge","1992","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Amy","Clampitt","Q128263","Amy Clampitt","59098378","n82079094","","","","",""
"Amy Clampitt","female","","winner","1992","MacArthur Fellowship","500,000","MacArthur Foundation","career","no genre","Amy","Clampitt","Q128263","Amy Clampitt","59098378","n82079094","","","","",""
"Killarney Clary","female","","winner","1992","Lannan Award","150,000","Lannan Foundation","career","poetry","Killarney","Clary","Q16186189","Killarney Clary","","","","","","",""
"Louise Gluck","female","","winner","1992","Rebekah Johnson Bobbitt National Prize For Poetry","10,000","Library of Congress","career","poetry","Louise","Gluck","Q2344210","Louise Glück","84538845","n80005703","","","","",""
"Ruth Prawer Jhabala","female","","winner","1992","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Ruth Prawer","Jhabvala","Q235759","Ruth Prawer Jhabvala","54149447","n50038610","","","","",""
"Suzan-Lori Parks","female","","winner","1992","Whiting Award","50,000","Whiting Foundation","career","no genre","Suzan-Lori","Parks","Q511432","Suzan-Lori Parks","218656","n94064278","","","","",""
"Philip Levine","male","University of Iowa","winner","1991","National Book Award","10,000","National Book Foundation","book","poetry","Philip","Levine","Q531273","Philip Levine","110361442","n78093573","Stanford University","graduate","87","Stegner","What Work Is"
"Michael Harper","male","University of Iowa","judge","1991","National Book Award","10,000","National Book Foundation","book","poetry","Michael","Harper","","","","","","graduate","3195","","What Work Is"
"Edward Hirsch","male","","judge","1991","National Book Award","10,000","National Book Foundation","book","poetry","Edward","Hirsch","Q5343460","Edward Hirsch","46805662","n80153675","University of Pennsylvania","graduate","","","What Work Is"
"Richard Wilbur","male","","judge","1991","National Book Award","10,000","National Book Foundation","book","poetry","Richard","Wilbur","Q1333582","Richard Wilbur","14804371","n79007244","Harvard University","graduate","","","What Work Is"
"N. Scott Momaday","male","","judge","1991","Pulitzer Prize","15,000","Columbia University","book","prose","N. Scott","Momaday","Q736570","N. Scott Momaday","110439963","n50003752","Stanford University","graduate","","Stegner","Rabbit At Rest"
"John Updike","male","","winner","1991","Pulitzer Prize","15,000","Columbia University","book","prose","John","Updike","Q105756","John Updike","90712179","n79018616","Harvard University","","","","Rabbit At Rest"
"Richard Eder","male","","judge","1991","Pulitzer Prize","15,000","Columbia University","book","prose","Richard","Eder","Q7325431","Richard Eder","9223372036854775808","n97867058","Harvard University","","","","Rabbit At Rest"
"John Edgar Wideman","male","University of Iowa","winner","1991","Faulkner Award for Fiction","15,000","PEN America","book","prose","John Edgar","Wideman","Q688739","John Edgar Wideman","110405033","n82231445","University of Pennsylvania","graduate","missing","","Philadelphia Fire"
"Percival Everett","male","Brown University","judge","1991","Faulkner Award for Fiction","15,000","PEN America","book","prose","Percival","Everett","Q3375158","Percival Everett","120212810","n83043473","Brown University","graduate","","","Philadelphia Fire"
"Donald Hall","male","","judge","1991","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Donald","Hall","Q976924","Donald Hall","49226675","n79043673","Harvard University, Stanford University","graduate","","Stegner","New Poems, 1980-88"
