Location Name,Title,Permanent Call Number,Author
Hallock Collection,"Border lines of knowledge in some provinces of medical science : an introductory lecture, delivered before the medical class of Harvard University, November 6th, 1861 /",H75bo,"Holmes, Oliver Wendell, 1809-1894, author."
Hallock Collection,Boston /,E53b,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Bracebridge Hall.,I72brc,"Irving, Washington, 1783-1859."
Hallock Collection,"Bracebridge hall : or, The humourists, a medley /",I72brb,"Irving, Washington, 1783-1859."
Hallock Collection,"Bracebridge-Hall, oder, Die Charaktere /",I72brg,"Irving, Washington, 1783-1859."
Hallock Collection,"Bracebridge-Hall, oder, Die Humoristen /",I72brga,"Irving, Washington, 1783-1859."
Hallock Collection,"Brook Farm : its members, scholars, and visitors /",H39ys9,"Swift, Lindsay, 1856-1921 author."
Hallock Collection,"Bryant, and his friends: some reminiscences of the Knickerbocker writers.",B91yw7,"Wilson, James Grant, 1832-1914 author."
Hallock Collection,"Byron's malach homoves. A commentary on Leigh Hunt's work entitled ""Lord Byron and some of his contemporaries"",",H29b,"Harper, Henry Howard, 1871-1953."
Hallock Collection,"Cambridge in the centennial : proceedings, July 3, 1875, in celebration of the centennial anniversary of Washington's taking command of the Continental Army, on Cambridge Commons.",L91xc1,
Hallock Collection,"Camden's compliment to Walt Whitman, May 31, 1889 : notes, addresses, letters, telegrams /",W61yt7c,
Hallock Collection,Cameos : selected from the works of Walter Savage Landor /,A36xl2,"Landor, Walter Savage, 1775-1864."
Hallock Collection,Canti scelti /,W61poia,"Whitman, Walt, 1819-1892."
Hallock Collection,Cape Cod /,T48ca,"Thoreau, Henry David, 1817-1862."
Hallock Collection,"Celebration of Guilford's two hundred and fiftieth anniversary, 1639-1889 : catalogue of relics.",H18yg,
Hallock Collection,"Celebration of the hundredth anniversary of the birth of Robert Burns,",B96c,"Boston Burns Club (Boston, Mass.)"
